timestamps,TP9,AF7,AF8,TP10,Right AUX
1711168446.605,0.000,23.926,15.137,41.504,33.691
1711168446.609,0.000,24.414,26.367,5.371,-11.230
1711168446.613,0.000,20.508,34.180,-7.812,35.645
1711168446.617,0.000,20.020,40.527,15.137,82.520
1711168446.621,0.000,16.602,49.805,10.254,32.227
1711168446.625,0.000,14.160,58.105,4.883,-12.695
1711168446.628,0.000,15.137,61.035,42.480,-5.371
1711168446.632,0.000,10.742,63.965,57.129,57.617
1711168446.636,-253.906,6.348,63.477,32.227,98.633
1711168446.640,-359.375,3.418,59.082,26.855,88.867
1711168446.644,-561.035,-5.371,58.105,45.898,38.086
1711168446.648,-775.391,-20.508,63.477,71.777,-23.438
1711168446.652,-896.973,-20.508,67.383,67.871,-4.395
1711168446.656,-944.336,-11.719,66.895,34.180,35.156
1711168446.660,-967.773,-9.766,65.430,62.012,68.848
1711168446.664,-968.750,-9.277,60.059,87.891,57.617
1711168446.667,-968.262,-2.930,60.059,59.570,15.625
1711168446.671,-968.750,4.395,58.594,70.801,-24.902
1711168446.675,-968.750,4.883,51.270,71.777,-14.160
1711168446.679,-968.750,-0.488,47.852,20.020,95.703
1711168446.683,-968.750,-2.930,34.180,18.555,53.711
1711168446.687,-968.750,1.465,20.508,18.555,0.000
1711168446.691,-968.750,-1.953,26.367,-4.883,12.695
1711168446.695,-968.750,-1.953,34.180,-26.367,9.766
1711168446.699,-968.750,7.324,41.504,-15.625,44.434
1711168446.703,-968.750,15.625,50.293,3.906,35.156
1711168446.707,-969.238,18.066,60.059,0.977,4.883
1711168446.710,-966.309,14.648,67.383,21.973,-38.086
1711168446.714,-970.215,10.742,64.453,46.387,1.465
1711168446.718,-962.402,16.602,65.430,43.945,37.598
1711168446.722,-873.535,27.832,71.289,25.879,59.082
1711168446.726,-822.754,31.738,74.707,21.973,75.195
1711168446.730,0.000,41.016,0.000,36.133,33.203
1711168446.734,0.000,51.270,0.000,32.227,45.898
1711168446.738,0.000,48.340,0.000,33.203,3.906
1711168446.742,0.000,47.852,0.000,35.645,-12.207
1711168446.746,0.000,46.875,0.000,54.199,42.480
1711168446.750,0.000,43.945,0.000,79.102,30.273
1711168446.753,0.000,46.875,0.000,61.035,38.574
1711168446.757,0.000,51.270,0.000,41.504,40.039
1711168446.761,0.000,52.734,0.000,33.691,43.457
1711168446.765,0.000,54.688,0.000,-3.906,36.621
1711168446.769,0.000,53.223,0.000,-12.695,-9.277
1711168446.773,0.000,53.711,0.000,15.137,8.789
1711168446.777,-75.684,52.734,80.566,30.762,22.949
1711168446.781,-6.348,39.062,69.824,47.852,-15.625
1711168446.785,158.203,28.809,32.227,35.156,-0.488
1711168446.789,284.668,30.273,12.695,22.461,16.113
1711168446.792,324.219,29.297,11.230,14.648,26.855
1711168446.796,359.375,29.785,2.441,35.156,79.102
1711168446.800,428.711,30.273,0.000,57.129,41.504
1711168446.804,497.559,25.391,1.465,39.062,7.812
1711168446.808,500.488,29.297,-29.785,40.527,32.715
1711168446.812,453.613,27.832,-62.500,52.734,43.945
1711168446.816,479.980,27.344,-64.453,49.805,5.859
1711168446.820,546.387,23.926,-57.129,60.059,-7.324
1711168446.824,581.055,16.113,-63.965,69.336,18.066
1711168446.828,577.148,14.648,-71.777,76.660,25.879
1711168446.832,573.730,17.090,-79.102,84.473,44.434
1711168446.835,632.324,7.324,-80.566,66.895,41.992
1711168446.839,673.340,-9.766,-76.660,64.453,50.781
1711168446.843,616.699,-20.020,-79.590,51.270,86.426
1711168446.847,545.898,-27.832,-81.055,13.672,49.805
1711168446.851,544.434,-24.902,-82.520,25.391,30.762
1711168446.855,523.438,-20.996,-79.102,51.270,66.406
1711168446.859,396.484,-24.902,-74.707,52.246,36.133
1711168446.863,274.902,-25.879,-79.102,44.434,53.711
1711168446.867,208.008,-20.020,-79.102,32.227,46.387
1711168446.871,168.457,-26.367,-72.266,0.000,-9.277
1711168446.874,42.969,-35.645,-73.730,0.000,-11.719
1711168446.878,-167.480,-36.621,-77.637,0.000,19.043
1711168446.882,-286.621,-41.016,-75.684,0.000,39.551
1711168446.886,-335.938,-47.363,-72.754,0.000,2.930
1711168446.890,-427.734,-47.852,-66.895,0.000,-69.336
1711168446.894,-589.355,-48.828,-60.059,0.000,-31.738
1711168446.898,-769.043,-50.781,-56.152,0.000,26.855
1711168446.902,-833.984,-58.594,-56.152,0.000,-10.254
1711168446.906,-853.516,-60.059,-53.223,0.000,32.715
1711168446.910,-944.336,-57.617,-49.316,0.000,30.273
1711168446.914,-973.633,-58.594,-51.270,0.000,-14.160
1711168446.917,-965.332,-63.965,0.000,13.672,9.277
1711168446.921,-969.238,-64.941,0.000,-11.719,22.949
1711168446.925,-968.750,-60.547,0.000,-14.160,-47.852
1711168446.929,-968.750,-60.059,0.000,8.301,-41.504
1711168446.933,-968.750,-69.824,0.000,10.254,30.273
1711168446.937,-968.750,-70.801,0.000,-31.738,38.086
1711168446.941,-969.238,-62.500,0.000,-53.711,3.906
1711168446.945,-966.797,-67.383,0.000,-37.109,0.977
